instrumento,nome_original,natureza,situacao_cadastro,situacao_operacional,situacao_hga_ultima,data_atualizacao_cadastro,localidade,x,y,profundidade_m,fonte_recente,leituras,primeira,ultima,dias_sem_leitura,cadencia_mediana_dias,recebimento,repeticao_final_n,repeticao_final_dias,repeticao_no_fundo,zero_auto_persistente,outliers_fortes,datas_futuras,na_negativo,inconsistencia_cota,janela_qaqc_dias,ptr_mais_proximo,dist_ptr_m,status_qaqc,score,motivos
0027-INA-073,INA_N_73,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,657245.45400001,7769759.35199973,250.0,Manual,264,2011-05-30,2026-08-21,7.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR018,37.4985825769542,OK,0,Sem sinais automáticos relevantes
0027-INA-107,INA_N_107,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,657117.26900001,7770146.74199974,200.0,Automático,1845,2018-10-10,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR019,316.47963834799293,OK,0,Sem sinais automáticos relevantes
0027-INA-113,INA_N_113,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656482.158000007,7769617.84999974,65.4,Manual,762,2016-03-10,2026-08-20,8.0,14.5,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR014,358.1331382206857,OK,0,Sem sinais automáticos relevantes
0027-INA-115,INA_N_115,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656280.378,7770252.23699973,300.0,Manual,241,2016-02-19,2026-08-20,8.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR013,978.3752557268563,OK,0,Sem sinais automáticos relevantes
0027-INA-135,INA_N_135,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656702.40500001,7769021.24099973,108.1,Automático,1930,2018-10-10,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR009,36.659227062311025,OK,0,Sem sinais automáticos relevantes
0027-INA-136,INA_N_136,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656702.40500001,7769021.24099973,69.7,Automático,2103,2018-10-10,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR009,36.659227062311025,OK,0,Sem sinais automáticos relevantes
0027-INA-155,INA_CA_155,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,654682.718000006,7770805.72099973,470.6,Automático,1830,2020-04-04,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR014,2375.8707682601125,OK,0,Sem sinais automáticos relevantes
0027-INA-156,INA_CA_156,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,654661.877000004,7770749.25999974,450.0,Automático,1971,2020-04-04,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR014,2355.6331496686853,OK,0,Sem sinais automáticos relevantes
0028-INA-041,INA_C_41,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Centro,655738.266000006,7768529.16699973,150.5,Automático,2188,2014-10-09,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR014,1045.971449106104,OK,0,Sem sinais automáticos relevantes
0028-INA-059,INA_C_59,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Centro,654905.492000006,7767858.84899974,190.0,Manual,264,2008-06-30,2026-08-20,8.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR008,1118.1107084594862,OK,0,Sem sinais automáticos relevantes
0028-INA-060,INA_C_60,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Centro,655003.953000007,7767257.99399973,100.0,Automático,2002,2015-04-28,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,564.641181387086,OK,0,Sem sinais automáticos relevantes
0028-INA-086,INA_C_86,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Centro,654798.060000003,7767560.48699973,215.0,Automático,2012,2015-09-16,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,926.8722143997155,OK,0,Sem sinais automáticos relevantes
0028-INA-137,INA_C_137,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Centro,655359.405000005,7768693.09699974,150.0,Automático,2024,2019-01-02,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR014,1261.7926638582862,OK,0,Sem sinais automáticos relevantes
0028-INA-139,INA_C_139,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Centro,655565.030000009,7768514.13899973,150.0,Automático,2058,2018-10-17,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR014,1185.579434376045,OK,0,Sem sinais automáticos relevantes
0028-INA-143,INA_C_143,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Centro,655254.837000001,7767323.49899974,90.0,Automático,1853,2018-09-10,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,489.3093804387639,OK,0,Sem sinais automáticos relevantes
0028-INA-144,INA_C_144,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Centro,654702.260000007,7767358.47699974,100.0,Automático,1828,2018-10-10,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,860.3420126253718,OK,0,Sem sinais automáticos relevantes
0028-INA-145,INA_C_145,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Centro,654852.960000004,7767351.51599973,100.0,Automático,2083,2019-02-12,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,738.4842463199005,OK,0,Sem sinais automáticos relevantes
0028-INA-147,INA_C_147,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Centro,655200.233000003,7767384.50199974,100.0,Automático,1936,2018-10-10,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,564.8555756662914,OK,0,Sem sinais automáticos relevantes
0028-PM-002,INA_PO_C_02,Poco Monitoramento,Ativo,Ativo,Ativo,2020-10-21,Alegria Centro,655015.750000008,7767299.49999973,90.7,Manual,172,2018-09-17,2026-08-20,8.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR008,587.060459947549,OK,0,Sem sinais automáticos relevantes
0029-INA-024,INA_S_24,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655864.560000003,7766037.53599973,100.6,Automático,2258,2015-08-14,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR005,645.7440375170529,OK,0,Sem sinais automáticos relevantes
0029-INA-035,INA_S_35,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655305.527000005,7767145.94099972,100.45,Automático,2390,2014-10-09,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,304.7520644658299,OK,0,Sem sinais automáticos relevantes
0029-INA-036,INA_S_36,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655777.52200001,7767304.92999973,100.15,Automático,2485,2014-10-09,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,585.518041322589,OK,0,Sem sinais automáticos relevantes
0029-INA-048,INA_S_48,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,656006.879000007,7765823.72199973,101.05,Automático,1956,2016-04-08,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR005,884.6684732157803,OK,0,Sem sinais automáticos relevantes
0029-INA-070,INA_S_70,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655773.482000007,7766509.34999973,208.0,Automático,2107,2015-08-22,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR005,167.23866064340535,OK,0,Sem sinais automáticos relevantes
0029-INA-078,INA_S_78,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655187.636999999,7767051.87099973,200.0,Automático,1903,2016-04-11,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,289.2781985519937,OK,0,Sem sinais automáticos relevantes
0029-INA-084,INA_S_84,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655548.507000009,7766744.74099973,260.0,Automático,2028,2016-02-19,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,185.08132134461977,OK,0,Sem sinais automáticos relevantes
0029-INA-097,INA_S_97,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655652.949000006,7764342.33099973,250.0,Automático,1921,2015-06-24,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR020,336.6807700891864,OK,0,Sem sinais automáticos relevantes
0029-INA-100,INA_S_100,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655470.222000008,7767110.50499973,248.9,Automático,1911,2018-11-26,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,263.2394082201526,OK,0,Sem sinais automáticos relevantes
0029-INA-101,INA_S_101,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655470.222000008,7767110.50499973,187.9,Manual,275,2014-03-10,2026-08-18,10.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR008,263.2394082201526,OK,0,Sem sinais automáticos relevantes
0029-INA-102,INA_S_102,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655959.337000003,7765391.86899973,200.0,Automático,1632,2016-09-02,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR016,566.3320144187729,OK,0,Sem sinais automáticos relevantes
0029-INA-103,INA_S_103,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655936.356000009,7765431.60299973,200.0,Automático,2042,2016-05-19,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR016,606.1619468962924,OK,0,Sem sinais automáticos relevantes
0029-INA-104,INA_S_104,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655983.568000008,7765329.16199973,200.0,Automático,2066,2016-04-25,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR016,504.64086654812473,OK,0,Sem sinais automáticos relevantes
0029-INA-109,INA_S_109,INA,Ativo,Ativo,Ativo,2021-02-12,Alegria Sul,654780.060000008,7765009.88899973,32.0,Manual,203,2015-07-06,2026-08-19,9.0,15.0,RECEBENDO,2,15,False,False,0,0,0,0,180,G00-11PTR020,1059.6028428071877,OK,0,Sem sinais automáticos relevantes
0029-INA-110,INA_S_110,INA,Ativo,Ativo,Ativo,2021-02-12,Alegria Sul,654834.343000001,7765244.48799973,30.0,Manual,213,2015-07-06,2026-08-18,10.0,15.0,RECEBENDO,2,14,False,False,0,0,0,0,180,G00-11PTR020,1113.093524467198,OK,0,Sem sinais automáticos relevantes
0029-INA-111,INA_S_111,INA,Ativo,Ativo,Ativo,2021-02-12,Alegria Sul,654834.343000001,7765244.48799973,9.1,Manual,206,2016-03-10,2026-08-18,10.0,15.0,RECEBENDO,2,14,False,False,0,0,0,0,180,G00-11PTR020,1113.093524467198,OK,0,Sem sinais automáticos relevantes
0029-INA-112,INA_S_112,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655061.832000003,7765624.30299973,108.0,Manual,187,2016-03-10,2026-08-19,9.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR016,1194.839154772843,OK,0,Sem sinais automáticos relevantes
0029-INA-127,INA_S_127,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,656070.505000007,7765969.43899973,45.0,Manual,234,2016-10-20,2026-08-18,10.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR005,767.6490207906076,OK,0,Sem sinais automáticos relevantes
0029-INA-128,INA_S_128,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,656070.505000007,7765969.43899973,60.0,Manual,232,2016-10-20,2026-08-18,10.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR005,767.6490207906076,OK,0,Sem sinais automáticos relevantes
0029-INA-132,INA_S_132,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,656275.16300002,7767688.41699921,30.65,Automático,1840,2018-09-11,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR005,1130.136522177567,OK,0,Sem sinais automáticos relevantes
0029-INA-138,INA_S_138,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655468.243000007,7766566.05399973,168.5,Automático,1555,2019-03-11,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,298.1575547812145,OK,0,Sem sinais automáticos relevantes
0029-INA-140,INA_S_140,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655316.490000006,7767092.22199973,100.0,Automático,1747,2018-09-11,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,250.38502169174336,OK,0,Sem sinais automáticos relevantes
0029-INA-141,INA_S_141,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655244.979000001,7766703.14499973,150.0,Automático,2012,2019-03-11,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,218.7910203595725,OK,0,Sem sinais automáticos relevantes
0029-INA-142,INA_S_142,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655616.825000004,7766933.20799974,120.0,Automático,1909,2019-03-11,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,229.04136383289713,OK,0,Sem sinais automáticos relevantes
0029-INA-146,INA_S_146,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655219.687000004,7766958.88399973,100.0,Automático,1835,2018-09-11,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,208.20841803714222,OK,0,Sem sinais automáticos relevantes
0029-INA-148,INA_S_148,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,654898.580000008,7766354.92499973,150.0,Automático,1832,2018-09-20,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,709.9531196986513,OK,0,Sem sinais automáticos relevantes
0029-INA-149,INA_S_149,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655199.58400001,7766905.47399973,100.0,Automático,1792,2018-09-11,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,207.27739919888705,OK,0,Sem sinais automáticos relevantes
0029-INA-150,INA_S_150,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655287.369000002,7766894.99099973,130.0,Automático,1743,2018-09-11,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,119.96354739876554,OK,0,Sem sinais automáticos relevantes
0029-INA-151,INA_S_151,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655283.894000008,7766476.40899974,180.0,Automático,1836,2018-09-20,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR008,397.75091410713304,OK,0,Sem sinais automáticos relevantes
0029-INA-152,INA_S_152,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655678.42,7766248.83399974,122.0,Automático,1977,2018-09-20,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR005,437.81586298197755,OK,0,Sem sinais automáticos relevantes
0029-INA-153,INA_S_153,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655278.330000009,7766097.48299974,190.0,Automático,2080,2018-09-20,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR005,760.8194513728895,OK,0,Sem sinais automáticos relevantes
0029-INA-154,INA_S_154,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,656003.937000007,7765161.98299973,140.0,Automático,1923,2018-10-10,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR016,340.5956955919739,OK,0,Sem sinais automáticos relevantes
0029-INA-166,,INA,Ativo,Ativo,Ativo,,Alegria Sul,655266.042000033,7764530.12299973,116.2,Manual,181,2023-11-07,2026-08-25,3.0,7.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR020,527.2873475244658,OK,0,Sem sinais automáticos relevantes
0029-INA-170,,INA,Ativo,Ativo,Ativo,,Alegria Sul,655640.009000007,7764082.07999973,177.87,Manual,179,2023-12-18,2026-08-26,2.0,7.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR020,589.1730729169265,OK,0,Sem sinais automáticos relevantes
0029-INA-171,,INA,Ativo,Ativo,Ativo,,Alegria Sul,656059.040000012,7764854.81899973,132.1,Manual,168,2023-12-18,2026-08-26,2.0,7.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR016,112.40640285711838,OK,0,Sem sinais automáticos relevantes
0029-INA-172,,INA,Ativo,Ativo,Ativo,,Alegria Sul,655853.731000006,7765142.16799973,158.96,Manual,174,2024-01-20,2026-08-26,2.0,7.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR016,331.0210963934334,OK,0,Sem sinais automáticos relevantes
0029-INA-174,,INA,Ativo,Ativo,Ativo,,Alegria Sul,655853.606000004,7765139.13499973,209.75,Manual,178,2024-02-11,2026-08-26,2.0,7.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR016,328.15866150103193,OK,0,Sem sinais automáticos relevantes
0029-PM-001,INA_PO_S_01,Poco Monitoramento,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655151.710000011,7766949.46999947,110.0,Manual,180,2018-10-09,2026-08-19,9.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR008,266.05140048665095,OK,0,Sem sinais automáticos relevantes
0029-PM-003,INA_PO_S_03,Poco Monitoramento,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655053.060000007,7766300.76999973,200.0,Manual,182,2018-09-06,2026-08-19,9.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR008,655.6915592831045,OK,0,Sem sinais automáticos relevantes
0029-PM-005,INA_PO_S_05,Poco Monitoramento,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655126.480000005,7765904.70999973,149.7,Manual,143,2018-09-06,2026-08-19,9.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR008,990.6172531862888,OK,0,Sem sinais automáticos relevantes
0029-PM-006,INA_PO_S_06,Poco Monitoramento,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,656007.300000005,7765161.26999973,160.0,Manual,329,2018-07-23,2026-08-26,2.0,7.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR016,340.43650884543547,OK,0,Sem sinais automáticos relevantes
0029-PM-007,INA_PO_S_07,Poco Monitoramento,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655953.270000008,7765403.03999973,149.0,Manual,185,2018-07-23,2026-08-19,9.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR016,577.440664986462,OK,0,Sem sinais automáticos relevantes
0029-PM-008,,Poco Monitoramento,Ativo,Ativo,Ativo,,Alegria Sul,655733.418000036,7764942.69399893,113.0,Manual,178,2023-12-18,2026-08-26,2.0,7.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR016,246.64236879883302,OK,0,Sem sinais automáticos relevantes
0029-PM-009,,Poco Monitoramento,Ativo,Ativo,Ativo,,Alegria Sul,655764.590000013,7764641.34799946,121.0,Manual,142,2024-07-31,2026-08-25,3.0,7.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR020,19.248506408351194,OK,0,Sem sinais automáticos relevantes
0029-PM-018,,Poco Monitoramento,Ativo,Ativo,Ativo,,Alegria Sul,654926.042000009,7764589.84399973,104.0,Manual,23,2025-08-28,2026-08-19,9.0,14.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR020,854.8114761732942,OK,0,Sem sinais automáticos relevantes
0029-PZ-096B,INA_S_96B,Piezometro,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,654862.753000009,7764947.44799973,200.0,Automático,1766,2019-02-11,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR020,961.2693615689095,OK,0,Sem sinais automáticos relevantes
0029-PZ-108,INA_S_108,Piezometro,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,654881.971000001,7764558.10799973,200.0,Manual,242,2015-07-21,2026-08-19,9.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR020,901.6098870572231,OK,0,Sem sinais automáticos relevantes
