instrumento,nome_original,natureza,situacao_cadastro,situacao_operacional,situacao_hga_ultima,data_atualizacao_cadastro,localidade,x,y,profundidade_m,fonte_recente,leituras,primeira,ultima,dias_sem_leitura,cadencia_mediana_dias,recebimento,repeticao_final_n,repeticao_final_dias,repeticao_no_fundo,zero_auto_persistente,outliers_fortes,datas_futuras,na_negativo,inconsistencia_cota,janela_qaqc_dias,ptr_mais_proximo,dist_ptr_m,status_qaqc,score,motivos
1331-INA-167,,INA,Ativo,Ativo,Ativo,,Alegria Sul,656598.816000002,7766673.14599973,100.63,Manual,64,2024-01-05,2026-08-17,11.0,15.0,RECEBENDO,2,12,False,False,0,0,0,0,180,G00-11PTR005,827.0431292463093,OK,0,Sem sinais automáticos relevantes
1331-INA-173,,INA,Ativo,Ativo,Ativo,,Alegria Sul,656593.458000006,7766672.85599973,68.74,Manual,64,2024-01-05,2026-08-18,10.0,15.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR005,821.6864388853953,OK,0,Sem sinais automáticos relevantes
1336-PM-012,,Poco Monitoramento,Ativo,Ativo,Ativo,,Barragem Germano,658696.587000016,7765913.08899947,110.0,Manual,51,2024-11-13,2026-08-16,12.0,14.0,RECEBENDO,2,14,False,False,0,0,0,0,180,G00-11PTR016,2953.5800410363668,OK,0,Sem sinais automáticos relevantes
1336-PM-013,,Poco Monitoramento,Ativo,Ativo,Ativo,,Barragem Germano,660740.506000027,7764390.9379992,40.0,Manual,60,2024-09-25,2026-08-16,12.0,13.0,RECEBENDO,1,0,False,False,0,0,0,0,180,G00-11PTR016,4809.691473353655,OK,0,Sem sinais automáticos relevantes
30LI002,INA_JM_106/1130-INA-106,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,656771.07000001,7768935.63999947,80.0,Automático,202,2026-03-01,2026-08-27,1.0,1.0,RECEBENDO,0,0,False,False,0,0,0,0,90,G00-11PTR009,130.38565871887403,OK,0,Sem sinais automáticos relevantes
30LI004,INA_JM_117/1130-INA-117,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,655483.510000011,7768938.52999947,106.1,Manual,26,2016-03-08,2026-08-07,21.0,17.0,RECEBENDO,0,0,False,False,0,0,0,0,180,G00-11PTR014,1053.4605882846085,OK,0,Sem sinais automáticos relevantes
30LI005,INA_JM_118/1130-INA-118,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,656695.120000009,7769027.42999947,30.85,Manual,35,2016-03-22,2026-08-20,8.0,14.5,RECEBENDO,0,0,False,False,0,0,0,0,180,G00-11PTR009,35.28063775350812,OK,0,Sem sinais automáticos relevantes
30LI008,INA_JM_62/1130-INA-062,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,655264.79000003,7768808.44999893,50.0,Automático,291,2016-04-25,2026-08-24,4.0,1.0,RECEBENDO,0,0,False,False,0,0,0,0,90,G00-11PTR014,1302.684611943555,OK,0,Sem sinais automáticos relevantes
30LI010,INA_JM_64/1130-INA-064,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,655315.990000017,7769073.95999947,50.1,Automático,259,2015-05-15,2026-08-27,1.0,1.0,RECEBENDO,0,0,False,False,0,0,0,0,90,G00-11PTR014,1185.4628765682944,OK,0,Sem sinais automáticos relevantes
30LI011,INA_JM_67/1130-INA-067,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,655610.510000014,7768653.45999946,50.0,Manual,126,2009-06-10,2026-08-07,21.0,18.0,RECEBENDO,0,0,False,False,0,0,0,0,180,G00-11PTR014,1065.5867397319173,OK,0,Sem sinais automáticos relevantes
