instrumento,categoria,descricao
0027-INA-155,ACOMPANHAMENTO_AMBIENTAL,"Condicionante do ICMBio; acompanhamento associado ao Parque Gandarela"
0027-INA-156,ACOMPANHAMENTO_AMBIENTAL,"Condicionante do ICMBio; acompanhamento associado ao Parque Gandarela"
