instrumento,inst_id,nome_original,natureza,situacao_cadastro,situacao_operacional,fonte_situacao_operacional,localidade,x,y,profundidade_m,data_corte,ptr_mais_proximo,dist_ptr_m,leituras,fonte_recente,modo_monitoramento,ultima,ultima_leitura_cota_m,dias_sem_leitura,cadencia_mediana_dias,limite_atualizacao_dias,recebimento,cota_atual_representativa_m,n_atual_validas,status_qaqc,motivos,sinais_qaqc,flatline_ativo,pos_flatline_pendente,salto_tipo,salto_data,variacao_ultima_m,ruido_recente,conflitos_temporais,conflito_recente,cota_referencia_12m_m,data_referencia_12m,delta_12m_m,classificacao_12m,cota_referencia_90d_m,data_referencia_90d,delta_90d_m,classificacao_90d,mediana_vizinhos_12m_m,diferenca_vizinhos_12m_m,mediana_vizinhos_90d_m,diferenca_vizinhos_90d_m
30LI013,30LI013,INA_JM_90/1130-INA-090,INA,Ativo,Ativo,HGA do snapshot,Joao Manoel,656712.350000017,7768944.02999946,48.0,2026-08-27,G00-11PTR009,110.67697367656653,229,Automático,Automático,2026-08-27,926.602107083334,0.0,1.0,5,RECEBENDO,926.603394833333,7,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Sem comparação disponível,926.824769916667,2026-05-27,-0.22137508333401001,Tendência de redução da cota,,,-0.19712762500000736,-0.02424745833400266
30LI016,30LI016,INA_JM_95/1130-INA-095,INA,Ativo,Ativo,HGA do snapshot,Joao Manoel,655581.130000012,7768842.32999947,116.5,2026-08-27,G00-11PTR014,997.2373566746649,56,Manual,Manual,2026-08-07,977.093,20.0,16.5,66,RECEBENDO,977.093,1,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Sem comparação disponível,977.003,2026-06-10,0.08999999999991815,Comportamento estável,,,0.009999999999990905,0.07999999999992724
30PI026,30PI026,INA_JM_94/1130-INA-094,INA,Ativo,Ativo,HGA do snapshot,Joao Manoel,655816.040000011,7768780.73999947,79.3,2026-08-27,G00-11PTR014,824.2402859706,54,Manual,Manual,2026-07-02,962.262,56.0,15.5,62,RECEBENDO,962.262,1,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Sem comparação disponível,962.262,2026-06-10,0.0,Comportamento estável,,,0.01999999999998181,-0.01999999999998181
31LI200,31LI200,INA_PS_125/0029-INA-125,INA,Ativo,Ativo,HGA do snapshot,PDER Alegria Sul,656155.599000019,7765811.6609992,7.6,2026-08-27,G00-11PTR005,946.2567842697048,19,Manual,Manual,2026-08-27,995.509,0.0,15.0,60,RECEBENDO,995.509,1,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Sem comparação disponível,995.869,2026-05-23,-0.36000000000001364,Tendência de redução da cota,,,-0.4900000000000091,0.12999999999999545
31LI201,31LI201,INA_PS_124/0029-INA-124,INA,Ativo,Ativo,HGA do snapshot,PDER Alegria Sul,656135.329000027,7765783.8569992,16.75,2026-08-27,G00-11PTR005,963.9098664321574,18,Manual,Manual,2026-08-27,997.807,0.0,15.0,60,RECEBENDO,997.807,1,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Sem comparação disponível,998.297,2026-05-22,-0.4900000000000091,Tendência de redução da cota,,,-0.36000000000001364,-0.12999999999999545
31LI202,31LI202,INA_PS_126/0029-INA-126,INA,Ativo,Ativo,HGA do snapshot,PDER Alegria Sul,656199.431000017,7765775.7209992,18.5,2026-08-27,G00-11PTR016,982.1848858316737,17,Manual,Manual,2026-08-27,1008.173,0.0,15.5,62,RECEBENDO,1008.173,1,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Sem comparação disponível,1008.523,2026-05-22,-0.35000000000002274,Tendência de redução da cota,,,-0.4900000000000091,0.13999999999998636
G00-11PTR005,G00-11PTR005,PTR_S_05,Poco Tubular,Ativo,Ativo,HGA do snapshot,Alegria Sul,655771.780000012,7766676.57999946,200.0,2026-08-27,G00-11PTR005,0.0,2920,Automático,Automático,2026-08-27,895.357807118734,0.0,1.0,5,RECEBENDO,895.357391723633,7,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Contexto operacional,,,,Contexto operacional,,,,
G00-11PTR008,G00-11PTR008,PTR_S_08,Poco Tubular,Ativo,Ativo,HGA do snapshot,Alegria Sul,655401.000000013,7766856.52999947,200.0,2026-08-27,G00-11PTR008,0.0,2536,Automático,Automático,2026-08-27,872.518103947957,0.0,1.0,5,RECEBENDO,872.595614145915,7,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Contexto operacional,,,,Contexto operacional,,,,
G00-11PTR013,G00-11PTR013,PTR_N_13,Poco Tubular,Ativo,Ativo,HGA do snapshot,Alegria Norte,657117.170000041,7769745.28799866,287.0,2026-08-27,G00-11PTR013,0.0,870,Automático,Automático,2026-08-27,906.696249040876,0.0,1.0,5,RECEBENDO,878.227843907674,7,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Contexto operacional,,,,Contexto operacional,,,,
G00-11PTR014,G00-11PTR014,PTR_N_14,Poco Tubular,Ativo,Ativo,HGA do snapshot,Alegria Norte,656486.80400004,7769259.74699867,263.0,2026-08-27,G00-11PTR014,0.0,1018,Automático,Automático,2026-08-27,856.184117776622,0.0,1.0,5,RECEBENDO,850.2600545778134,4,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Contexto operacional,,,,Contexto operacional,,,,
G00-11PTR015,G00-11PTR015,G00-11PTR015,Poco Tubular,Ativo,Ativo,HGA do snapshot,Alegria Norte,656631.870000065,7769280.9169976,264.0,2026-08-27,G00-11PTR015,0.0,623,Automático,Automático,2026-08-25,914.418788208008,2.0,1.0,5,RECEBENDO,913.897910242717,5,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Contexto operacional,,,,Contexto operacional,,,,
G00-11PTR018,G00-11PTR018,G00-11PTR018,Poco Tubular,Ativo,Ativo,HGA do snapshot,Alegria Norte,657222.05200005,7769730.05199814,269.5,2026-08-27,G00-11PTR018,0.0,472,Automático,Automático,2026-08-27,829.581914556089,0.0,1.0,5,RECEBENDO,829.575499313354,7,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Contexto operacional,,,,Contexto operacional,,,,
G00-11PTR019,G00-11PTR019,G00-11PTR019,Poco Tubular,Ativo,Ativo,HGA do snapshot,Alegria Norte,657272.700000038,7769871.05999866,293.0,2026-08-27,G00-11PTR019,0.0,565,Automático,Automático,2026-08-27,882.392609889818,0.0,1.0,5,RECEBENDO,848.507916730245,7,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,0,False,,,,Contexto operacional,,,,Contexto operacional,,,,
G00-11PTR020,G00-11PTR020,G00-11PTR020,Poco Tubular,Ativo,Ativo,HGA do snapshot,Alegria Sul,655778.38400009,7764654.77299707,284.0,2026-08-27,G00-11PTR020,0.0,88931,Automático,Automático,2026-08-27,1046.92418268333,0.0,1.0,5,RECEBENDO,1048.17594482422,7,Conforme,Conforme — Nenhum sinal recente requer acompanhamento pela rotina automática.,,False,False,,,,,1,False,,,,Contexto operacional,,,,Contexto operacional,,,,
